"Dia","Hora","Satelite","Instrumento","Latitud","Longitud","FP_T21","FP_T31","FP_Power","FP_Confidence","SCAN","TRACK"
2024-10-01,05:47:03,"AQUA","MODIS",-13.036567,-51.201984,364.699,300.414,129.489,100,1.23351,1.1039
2024-10-01,05:47:03,"AQUA","MODIS",-13.038135,-51.19083,327.421,297.344,29.2015,100,1.23538,1.10469
2024-10-01,05:47:03,"AQUA","MODIS",-13.035713,-51.220013,333.187,298.418,39.4965,100,1.23165,1.10313
2024-10-01,05:47:03,"AQUA","MODIS",-13.037215,-51.20887,365.894,301.324,134.718,100,1.23351,1.1039
2024-10-01,05:47:03,"AQUA","MODIS",-13.03872,-51.197708,347.252,299.687,71.5507,100,1.23538,1.10469
2024-10-01,05:47:03,"AQUA","MODIS",-13.048515,-51.199085,375.938,301.539,181.063,100,1.23538,1.10469
2024-10-01,05:47:03,"AQUA","MODIS",-13.050029,-51.187908,365.442,301.177,133.049,100,1.23726,1.10547
2024-10-01,05:47:03,"AQUA","MODIS",-13.056793,-51.211624,312.942,296.179,11.3088,86,1.23351,1.1039
2024-10-01,05:47:03,"AQUA","MODIS",-13.058311,-51.200462,333.608,297.292,40.0148,100,1.23538,1.10469
2024-10-01,05:47:03,"AQUA","MODIS",-13.059833,-51.189274,385.96,300.727,239.173,100,1.23726,1.10547
2024-10-01,05:47:03,"AQUA","MODIS",-13.061355,-51.178078,396.245,302.862,312.586,100,1.23915,1.10626
2024-10-01,05:47:03,"AQUA","MODIS",-13.501102,-48.592049,317.879,293.994,37.1613,96,1.9024,1.3478
2024-10-01,05:47:03,"AQUA","MODIS",-13.198795,-51.214378,310.487,295.094,10.6755,80,1.23726,1.10547
2024-10-01,05:47:03,"AQUA","MODIS",-13.208599,-51.215759,334.801,296.756,45.094,100,1.23726,1.10547
2024-10-01,05:47:03,"AQUA","MODIS",-13.210164,-51.204556,341.874,298.113,60.4789,100,1.23915,1.10626
2024-10-01,05:47:03,"AQUA","MODIS",-13.218404,-51.217133,328.202,296.394,32.4447,100,1.23726,1.10547
2024-10-01,05:47:03,"AQUA","MODIS",-13.219976,-51.205925,356.568,299.143,101.965,100,1.23915,1.10626
2024-10-01,05:47:03,"AQUA","MODIS",-13.220447,-51.21283,339.069,297.812,53.2509,100,1.23915,1.10626
2024-10-01,05:47:03,"AQUA","MODIS",-13.221957,-51.201588,325.394,298.01,28.0007,100,1.24105,1.10706
2024-10-01,05:47:03,"AQUA","MODIS",-13.575101,-51.153694,313.861,294.276,14.3509,88,1.26066,1.1152
2024-10-01,05:47:03,"AQUA","MODIS",-13.584993,-51.155079,314.707,294.814,14.983,90,1.26066,1.1152
2024-10-01,05:47:03,"AQUA","MODIS",-13.627407,-51.144348,322.639,294.737,25.3031,100,1.26471,1.11688
2024-10-01,05:47:03,"AQUA","MODIS",-13.634197,-51.168633,318.092,294.403,19.897,96,1.26066,1.1152
2024-10-01,05:47:03,"AQUA","MODIS",-14.72892,-48.759594,324.291,292.005,56.2984,100,1.9265,1.35549
2024-10-01,05:47:03,"AQUA","MODIS",-14.734434,-48.766159,323.816,292.267,51.7755,91,1.9265,1.35549
2024-10-01,05:47:03,"AQUA","MODIS",-15.686087,-53.918243,311.679,292.183,10.7,83,1.01664,1.00785
2024-10-01,05:47:03,"AQUA","MODIS",-14.611792,-62.439278,328.923,278.095,131.07,100,2.84246,1.61007
2024-10-01,05:47:03,"AQUA","MODIS",-14.625961,-62.442005,371.046,284.216,551.761,100,2.84246,1.61007
2024-10-01,05:47:03,"AQUA","MODIS",-14.630656,-62.416317,325.572,280.274,108.077,98,2.82894,1.60675
2024-10-01,05:47:03,"AQUA","MODIS",-14.630223,-62.448048,320.363,280.019,86.9124,100,2.84246,1.61007
2024-10-01,05:47:03,"AQUA","MODIS",-14.635098,-62.422379,312.104,284.783,53.1827,84,2.82894,1.60675
2024-10-01,05:47:03,"AQUA","MODIS",-16.656553,-50.597549,315.238,290.222,24.3578,91,1.5075,1.2118
2024-10-01,05:47:03,"AQUA","MODIS",-14.891775,-63.416538,318.078,285.211,88.354,82,3.33465,1.72376
2024-10-01,05:47:03,"AQUA","MODIS",-14.906902,-63.419678,323.506,276.231,121.743,100,3.33465,1.72376
2024-10-01,05:47:03,"AQUA","MODIS",-16.631863,-55.200542,317.83,287.17,14.0124,93,1.00192,1.00091
2024-10-01,05:47:03,"AQUA","MODIS",-15.545307,-62.192429,313.149,287.532,45.0273,86,2.6058,1.55037
2024-10-01,05:47:03,"AQUA","MODIS",-15.549513,-62.168934,314.731,287.599,50.1569,90,2.59442,1.54741
2024-10-01,05:47:03,"AQUA","MODIS",-15.554517,-62.177494,317.442,287.242,59.7028,95,2.59442,1.54741
2024-10-01,05:47:03,"AQUA","MODIS",-16.75214,-55.802376,318.285,289.49,13.9093,88,1.01872,1.00882
2024-10-01,05:47:03,"AQUA","MODIS",-16.753578,-55.793011,326.449,291.115,22.0685,100,1.01829,1.00862
2024-10-01,05:47:03,"AQUA","MODIS",-16.755014,-55.783653,334.301,291.782,33.2735,100,1.01787,1.00842
2024-10-01,05:47:03,"AQUA","MODIS",-16.761078,-55.803833,322.144,289.773,17.9441,95,1.01872,1.00882
2024-10-01,05:47:03,"AQUA","MODIS",-16.762512,-55.794472,332.087,291.663,29.5048,100,1.01829,1.00862
2024-10-01,05:47:03,"AQUA","MODIS",-16.763948,-55.785114,332.808,292.104,31.2068,100,1.01787,1.00842
2024-10-01,05:47:03,"AQUA","MODIS",-16.765381,-55.775757,330.953,291.633,29.2158,100,1.01745,1.00823
2024-10-01,05:47:03,"AQUA","MODIS",-16.771448,-55.795933,328.272,290.313,26.3161,100,1.01829,1.00862
2024-10-01,05:47:03,"AQUA","MODIS",-16.772881,-55.786575,315.634,290.544,13.2031,92,1.01787,1.00842
2024-10-01,05:47:03,"AQUA","MODIS",-16.826178,-55.917267,331.45,285.716,28.2119,100,1.02326,1.01095
2024-10-01,05:47:03,"AQUA","MODIS",-16.827627,-55.90786,341.42,286.469,44.3837,100,1.02278,1.01072
2024-10-01,05:47:03,"AQUA","MODIS",-16.836578,-55.909332,350.723,288.538,62.1066,100,1.02278,1.01072
2024-10-01,05:47:03,"AQUA","MODIS",-16.838024,-55.899933,354.652,289.373,72.0128,100,1.02231,1.0105
2024-10-01,05:47:03,"AQUA","MODIS",-16.854485,-55.912273,325.998,285.49,21.9599,91,1.02278,1.01072
2024-10-01,05:47:03,"AQUA","MODIS",-16.855927,-55.902866,347.905,286.999,57.3618,100,1.02231,1.0105
2024-10-01,05:47:03,"AQUA","MODIS",-16.708609,-57.377075,324.902,286.046,27.5977,100,1.15525,1.07048
2024-10-01,05:47:03,"AQUA","MODIS",-16.710304,-57.366478,333.045,283.329,39.9403,100,1.15384,1.06987
2024-10-01,05:47:03,"AQUA","MODIS",-16.883249,-57.703484,322.939,290.539,25.0088,100,1.19332,1.0869
2024-10-01,05:47:03,"AQUA","MODIS",-16.892862,-57.705154,311.136,288.287,13.0577,82,1.19332,1.0869
2024-10-01,05:47:03,"AQUA","MODIS",-16.894655,-57.694206,321.749,290.644,24.5052,100,1.19169,1.08621
2024-10-01,05:47:03,"AQUA","MODIS",-17.053228,-56.710243,322.843,288.625,20.9889,99,1.07387,1.03428
2024-10-01,05:47:03,"AQUA","MODIS",-17.135395,-56.187214,320.964,291.354,15.6315,100,1.03391,1.01591
2024-10-01,05:47:03,"AQUA","MODIS",-17.142912,-56.198235,315.745,290.413,11.1087,90,1.0345,1.01619
2024-10-01,05:47:03,"AQUA","MODIS",-17.144394,-56.188709,321.94,291.424,16.1215,100,1.03391,1.01591
2024-10-01,05:47:03,"AQUA","MODIS",-17.150433,-56.209259,326.236,290.769,22.1286,100,1.0351,1.01646
2024-10-01,05:47:03,"AQUA","MODIS",-17.151913,-56.199726,345.845,294.373,52.0562,100,1.0345,1.01619
2024-10-01,05:47:03,"AQUA","MODIS",-17.153391,-56.190201,326.666,292.297,20.0009,100,1.03391,1.01591
2024-10-01,05:47:03,"AQUA","MODIS",-17.154867,-56.180683,341.42,293.379,42.9341,100,1.03333,1.01564
2024-10-01,05:47:03,"AQUA","MODIS",-17.156343,-56.171169,344.775,294.747,49.9743,100,1.03275,1.01537
2024-10-01,05:47:03,"AQUA","MODIS",-17.157816,-56.161663,337.712,294.655,37.4068,100,1.03218,1.01511
2024-10-01,05:47:03,"AQUA","MODIS",-17.15929,-56.152161,358.657,295.561,83.2608,100,1.03161,1.01484
2024-10-01,05:47:03,"AQUA","MODIS",-17.160761,-56.142662,355.228,295.109,75.0773,100,1.03105,1.01458
2024-10-01,05:47:03,"AQUA","MODIS",-17.077583,-56.734661,323.4,289.261,18.1172,100,1.07568,1.0351
2024-10-01,05:47:03,"AQUA","MODIS",-17.159437,-56.210751,324.129,291.18,19.9983,100,1.0351,1.01646
2024-10-01,05:47:03,"AQUA","MODIS",-17.160913,-56.201218,336.608,293.643,35.1824,100,1.0345,1.01619
2024-10-01,05:47:03,"AQUA","MODIS",-17.088301,-56.726318,325.222,290.111,19.7145,86,1.07477,1.03469
2024-10-01,05:47:03,"AQUA","MODIS",-17.089853,-56.716427,333.841,290.468,33.4173,97,1.07387,1.03428
2024-10-01,05:47:03,"AQUA","MODIS",-17.16844,-56.212242,327.372,292.381,24.4379,100,1.0351,1.01646
2024-10-01,05:47:03,"AQUA","MODIS",-17.169914,-56.202713,323.622,292.77,18.961,100,1.0345,1.01619
2024-10-01,05:47:03,"AQUA","MODIS",-17.177267,-56.155144,322.677,293.78,18.1651,100,1.03161,1.01484
2024-10-01,05:47:03,"AQUA","MODIS",-17.097462,-56.727867,341.648,291.593,47.8865,100,1.07477,1.03469
2024-10-01,05:47:03,"AQUA","MODIS",-13.216773,-48.571548,315.405,294.747,31.1065,91,1.8906,1.344
2024-10-01,05:47:03,"AQUA","MODIS",-17.09901,-56.717979,333.468,290.96,34.4206,100,1.07387,1.03428
2024-10-01,05:47:03,"AQUA","MODIS",-17.177443,-56.213737,336.608,292.455,37.8927,100,1.0351,1.01646
2024-10-01,05:47:03,"AQUA","MODIS",-17.178915,-56.204208,347.645,295.263,57.3949,100,1.0345,1.01619
2024-10-01,05:47:03,"AQUA","MODIS",-17.180386,-56.194683,328.121,293.755,24.4358,100,1.03391,1.01591
2024-10-01,05:47:03,"AQUA","MODIS",-18.683743,-57.323769,317.801,293.095,16.1938,96,1.09422,1.04348
2024-10-01,05:47:03,"AQUA","MODIS",-18.692982,-57.325371,348.42,299.297,65.6321,100,1.09422,1.04348
2024-10-01,05:47:03,"AQUA","MODIS",-18.69462,-57.315216,323.267,296.842,21.8468,100,1.09319,1.04301
2024-10-01,05:47:03,"AQUA","MODIS",-18.702221,-57.326981,356.383,298.062,86.2278,100,1.09422,1.04348
2024-10-01,05:47:03,"AQUA","MODIS",-18.703854,-57.316826,359.008,302.862,93.3705,100,1.09319,1.04301
2024-10-01,05:47:03,"AQUA","MODIS",-18.705486,-57.306679,317.533,295.407,15.4141,95,1.09216,1.04255
2024-10-01,05:47:03,"AQUA","MODIS",-18.713089,-57.318432,313.311,295.094,11.8265,87,1.09319,1.04301
2024-10-01,05:47:03,"AQUA","MODIS",-19.116201,-57.466118,336.608,299.928,39.2647,100,1.09843,1.04537
2024-10-01,05:47:03,"AQUA","MODIS",-19.121096,-57.473667,316.51,298.55,12.3998,93,1.09843,1.04537
2024-10-01,05:47:03,"AQUA","MODIS",-19.122728,-57.4636,346.822,302.277,59.7815,100,1.09737,1.04489
2024-10-01,05:47:03,"AQUA","MODIS",-19.131981,-57.465218,318.477,298.494,14.3264,97,1.09737,1.04489
2024-10-01,05:47:03,"AQUA","MODIS",-19.650131,-56.47057,312.536,296.49,9.55312,83,1.01787,1.00842
2024-10-01,05:47:03,"AQUA","MODIS",-19.964905,-55.486912,314.815,296.999,9.765,90,1.00109,1.00052
2024-10-01,05:47:03,"AQUA","MODIS",-19.97517,-55.478985,310.886,296.908,6.50666,81,1.00119,1.00057
2024-10-01,05:47:03,"AQUA","MODIS",-19.98521,-55.477589,314.578,297.027,9.72512,89,1.0013,1.00062
2024-10-01,05:47:03,"AQUA","MODIS",-19.505714,-58.744808,312.937,297.117,11.4553,82,1.25268,1.1119
2024-10-01,05:47:03,"AQUA","MODIS",-19.515545,-58.746632,320.38,297.292,20.4411,100,1.25268,1.1119
2024-10-01,05:47:03,"AQUA","MODIS",-21.589441,-47.843761,322.319,292.583,89.8813,90,2.84246,1.61007
2024-10-01,05:47:03,"AQUA","MODIS",-20.382368,-58.425583,319.377,299.232,16.6255,98,1.17283,1.07811
2024-10-01,05:47:03,"AQUA","MODIS",-20.495842,-58.533005,313.254,299.008,10.2862,81,1.18368,1.08277
2024-10-01,05:47:03,"AQUA","MODIS",-20.857246,-57.901073,344.529,300.132,55.0821,100,1.09843,1.04537
2024-10-01,05:47:03,"AQUA","MODIS",-20.85891,-57.890739,321.819,299.078,18.354,100,1.09737,1.04489
2024-10-01,05:47:03,"AQUA","MODIS",-22.359322,-49.33329,344.775,295.012,168.469,100,2.25096,1.45346
2024-10-01,05:47:03,"AQUA","MODIS",-22.361628,-49.311321,341.038,295.017,148.919,100,2.25949,1.45591
2024-10-01,05:47:03,"AQUA","MODIS",-21.697615,-54.787693,312.049,292.03,11.5995,84,1.04266,1.01997
2024-10-01,05:47:03,"AQUA","MODIS",-22.372292,-49.334759,321.07,294.043,59.9657,100,2.25096,1.45346
2024-10-01,05:47:03,"AQUA","MODIS",-22.374605,-49.312923,325.836,293.335,76.9464,100,2.25949,1.45591
2024-10-01,05:47:03,"AQUA","MODIS",-22.376932,-49.290951,315.881,291.737,45.4105,92,2.26808,1.45837
2024-10-01,05:47:03,"AQUA","MODIS",-21.411486,-58.082008,315.004,301.122,10.6895,87,1.10275,1.04731
2024-10-01,05:47:03,"AQUA","MODIS",-21.413155,-58.071587,319.03,301.47,14.7843,97,1.10166,1.04682
2024-10-01,05:47:03,"AQUA","MODIS",-21.422424,-58.073288,315.984,300.649,11.8483,90,1.10166,1.04682
2024-10-01,05:47:03,"AQUA","MODIS",-23.484652,-55.811584,310.85,298.188,7.19517,81,1.01251,1.0059
2024-10-01,05:47:03,"AQUA","MODIS",-23.843225,-56.696514,316.613,297.746,12.984,93,1.00013,1.00006
